Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
TFSC,1347 Capital Corp.,9.7,$57.7M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc
TFSCR,1347 Capital Corp.,0.43,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr
TFSCU,1347 Capital Corp.,10.27,$42.93M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu
TFSCW,1347 Capital Corp.,0.235,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw
PIH,"1347 Property Insurance Holdings, Inc.",7.84,$49.85M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
FLWS,"1-800 FLOWERS.COM, Inc.",9.63,$628.47M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCTY,"1st Century Bancshares, Inc",7.65,$77.77M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty
FCCY,1st Constitution Bancorp (NJ),11.59,$86.97M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,30.91,$979.88M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",20.65,$1.36B,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",38.31,$1.58B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
DGLD,3X Inverse Gold ETN Velocityshares,91.7,$12.47M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld
DSLV,3X Inverse Silver ETN Velocityshares,69.45,$39.37M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dslv
UGLD,3X Long Gold ETN Velocityshares,8.32,$8.2M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ugld
USLV,3X Long Silver ETN Velocityshares,13.32,$26.14M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/uslv
JOBS,"51job, Inc.",30.46,$1.8B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
SIXD,"6D Global Technologies, Inc.",4.86,$380.13M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd
CAFD,8point3 Energy Partners LP,14.1,$1B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,8.06,$714.1M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",14.6,$326.16M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",35.44,$1.04B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",22.7,$1.23B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",48.67,$1.1B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABY,Abengoa Yield plc,22.53,$2.26B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby
ABGB,"Abengoa, S.A.",6.09,$1.02B,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb
ABEO,Abeona Therapeutics Inc.,5.57,$135.17M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,2.07,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABMD,"ABIOMED, Inc.",95.75,$4.03B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.75,$185.83M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACTG,Acacia Research Corporation,8.85,$451.79M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",81.78,$5.86B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,39.14,$3.93B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",0.399,$42.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",23.07,$1.03B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,28.14,$923.33M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
